question,passage,label
is living at high altitude good for you,"Travel to each of these altitude regions can lead to medical problems, from the mild symptoms of acute mountain sickness to the potentially fatal high-altitude pulmonary edema (HAPE) and high-altitude cerebral edema (HACE). The higher the altitude, the greater the risk. Research also indicates elevated risk of permanent brain damage in people climbing to extreme altitudes. Expedition doctors commonly stock a supply of dexamethasone, or ``dex,'' to treat these conditions on site.",0
is fate and the furious the last movie,"The Fate of the Furious premiered in Berlin on April 4, 2017, and was theatrically released in the United States on April 14, 2017, playing in 3D, IMAX 3D and 4DX internationally. The film received mixed reviews from critics, many of whom praised the action sequences and acting performances but criticized the storyline. The film grossed over $1.2 billion worldwide, making it the thirtieth film (and the second in the franchise, after Furious 7) to gross over $1 billion, the third-highest-grossing film of 2017 and the fifteenth-highest-grossing film of all time. The film grossed $542 million worldwide during its opening weekend, which is the second highest-grossing worldwide opening of all time behind Avengers: Infinity War (2018). A spinoff film starring Johnson and Statham's characters is scheduled for release in August 2019, while the ninth and tenth films are scheduled for releases on the years 2020 and 2021.",0
do the miami dolphins have a real dolphin in their stadium,"Flipper was a mascot for the Miami Dolphins from 1966 to 1968. She was situated in a fish tank in the open (east) end of the Orange Bowl, and was trained to jump in the tank when a touchdown or field goal was scored.",0
is tess carroll died in charlie st cloud,"Along with his friend Alistair and Tess's coach Tink, Charlie takes a boat to find her. The following sunset, Charlie misses his game with Sam. As Charlie confesses his love for his departed sibling, Sam tells Charlie that he loves him back and moves on from the living world. He appears to Charlie as a shooting star in the sky to reveal Tess' location. The group finds Tess' wrecked boat along with her lying on the rocks. Charlie uses his body heat to keep Tess warm until they are found by the Coast Guard.",0
did the beatles ever play at red rocks,"The earliest notable rock-and-roll performance at Red Rocks was by The Beatles on August 26, 1964, the only concert not sold out during their US-tour. When Ringo Starr returned to Red Rocks with his All-Starr Band on June 28, 2000, he asked if anyone in the crowd had been at the Beatles concert thirty-six years earlier. On August 26, 2004, the East-Coast-based Beatles-tribute band, ``1964'' was flown to Denver to re-enact the Beatles concert held at the site exactly forty-years earlier to the date. The beautiful and unique setting has led to the venue becoming a favorite for many performers. Jimi Hendrix played at Red Rocks on September 1, 1968, along with Vanilla Fudge and Soft Machine.",1
is talc and talcum powder the same thing,"Talc or talcum is a clay mineral composed of hydrated magnesium silicate with the chemical formula HMg(SiO) or MgSiO(OH). In loose form, it is (in ratio with or without corn starch) one of the most widely used substances known as baby powder. It occurs as foliated to fibrous masses, and in an exceptionally rare crystal form. It has a perfect basal cleavage, and the folia are not elastic, although slightly flexible.",1
is the view and the talk the same show,"In November 2008, the show's post-election day telecast garnered the biggest audience in the show's history at 6.2 million in total viewers, becoming the week's most-watched program in daytime television. It was surpassed on July 29, 2010, during which former President Barack Obama first appeared as a guest on The View, which garnered a total of 6.6 million viewers. In 2013, the show was reported to be averaging 3.1 million daily viewers, which outpaced rival talk show The Talk.",0
will my military id get me into canada,"Beginning in 2009, U.S. citizens aged 16 and older traveling into the U.S. from Canada by land or sea (including ferries) have had to present documents denoting citizenship and identity, which include a valid U.S. passport, U.S. passport card, Trusted Traveler Program card (NEXUS, SENTRI, Global Entry or FAST), an Enhanced Driver's License, U.S. Military identification card when traveling on official orders, U.S. Merchant Mariner document when traveling in conjunction with official maritime business, Form I-872 American Indian Card, or (when available) Enhanced Tribal Card. Children under age 16 (or under 19, if traveling with a school, religious group, or other youth group) need only to present a birth certificate issued by an appropriate state or local authority, or a Naturalization Certificate. Persons who do not present acceptable documents may be delayed as U.S. Customs and Border Protection officers at the port of entry attempt to verify identity and citizenship.",1
does golden goal apply in the world cup 2018,"In February 2004, the IFAB announced that after Euro 2004 in Portugal, both the golden goal and silver goal methods would be removed from the Laws of the Game. Since the 2006 FIFA World Cup in Germany the golden goal has never been used in the event of a tied match during the knockout stage, and FIFA restored the original rules: in the event of a tied game after the original 90 minutes, two straight 15-minute periods of extra time are played. If a tie still remains after that, the winner is decided by a penalty shoot-out.",0
are there going to be any more i am number four movies,"Plans for any future installments for the series have been shelved. Director D.J. Caruso confirmed that he would like to direct a sequel, but in an interview with MTV Hollywood Crush Lore has stated that any questions or requests for a sequel should be directed to producer Michael Bay.",0
is it legal to put a motor on a bicycle,"In the United States, federal law exempts low-speed electric bicycles from Dept. of Transportation and NHTSA motor vehicle regulations, and they are regulated under federal law in the same manner as ordinary bicycles. The Consumer Product Safety Act defines the term low speed electric bicycle as a two- or three-wheeled vehicle with fully operable pedals and an electric motor of less than 750 watts (1 horsepower), whose maximum speed on a paved level surface, when powered solely by such a motor while ridden by an operator who weighs 170 pounds, is less than 20 mph (15 U.S.C. 2085(b)). At the present time, neither the DOT nor the NHTSA restrict the assembly of e-bikes for use on public roads, although commercially manufactured e-bikes capable of speeds greater than 20 mph are considered motor vehicles and thus subject to DOT and NHTSA safety requirements. Consequently, the laws of the individual state and/or local jurisdiction govern the type, motor wattage, and speed capability of e-bikes used on public roadways (see Electric bicycle laws). As long as the bicycle is capable of pedal propulsion, most U.S. states currently do not distinguish between designs that may be self-propelled by the electric motor versus pedal assist designs in which the electric motor assists pedal propulsion by the rider.",1
can puppies see when they open their eyes,"Puppies are born with a fully functional sense of smell but can't open their eyes. During their first two weeks, a puppy's senses all develop rapidly. During this stage the nose is the primary sense organ used by puppies to find their mother's teats, and to locate their littermates, if they become separated by a short distance. Puppies open their eyes about nine to eleven days following birth. At first, their retinas are poorly developed and their vision is poor. Puppies are not able to see as well as adult dogs. In addition, puppies' ears remain sealed until about thirteen to seventeen days after birth, after which they respond more actively to sounds. Between two and four weeks old, puppies usually begin to growl, bite, wag their tails, and bark.",1
