Sentence,Label
"The crowning moment in the Sir Alex Ferguson dynasty at Old Trafford, Manchester United",5
The cosmic distance ladder is a series of methods used to determine astronomical distances.,4
"why Error: Element type is invalid: expected a string (for built-in components) or a class/function (for composite components) but got: undefined. You likely forgot to export your component from the file it's defined in, or you might have mixed up default and named imports.",0
"Playful polka dot sundress with a sweetheart neckline, accessorized with a straw hat, cat-eye sunglasses, and wedge sandals.",2
Rugby is a violent sport,3
Alexander McQueen’s most notable brand ambassador.,2
"The moon has a very thin exosphere, almost a vacuum.",4
Explain the concept of quantum entanglement and its implications for our understanding of the universe.,1
Hermès announced a new edition of its classic 1997 Victoria travel bag made using lab-grown mycelium developed by the California startup My co-works,2
Analyze the environmental impact of the fashion industry and explore sustainable solutions.,2
Write a fan letter to your favourite football player. What would you want to ask them,5
Explain the concept of biotechnology and its applications in healthcare.,1
"Ace Indian Cricketer Mithali Raj took to Twitter on June 8, 2022 and announced retirement from all forms of cricket.",3
Gordon Banks denied Pele with that famous save at the 1970 World Cup,5
"The United States joined the space race when Explorer 1 was launched into orbit on Jan. 31, 1958.",4
"Russian cosmonaut Alexei Leonov became the first person to walk in space, after leaving the Voskhod spacecraft that carried two passengers.",4
"Several weeks later, Alan Shepard flew the Freedom 7 spacecraft on a suborbital 15-minute flight that reached a peak altitude of 116 miles and a top speed of 5,180 miles an hour. ",4
I got size 2p. it comes down a little over my knee cap and i wish it was rather a little above it. i have a small chest about 32b and with a padded push up bra it was still bit loose on the top. i do have a shorter torso. i feel like i could've gone with the 0 petite. i'm a pear shape and more like a size 4 on the bottom and i weigh about 115lbs- there is tons of room to go smaller - it is not form fitting on the bottom at all. has that slight polyester feel but the fabric is beautiful and thick,2
"Indian wushu player, Sadia Tariq, recently won the gold medal at a junior tournament which was held in Moscow.",3
Cloud computing trends will only get bigger in the coming years as more organizations large and small put their data in the cloud and stop relying on local servers.,1
import pymongo,0
Rolex SA is a Swiss luxury watch manufacturer based in Geneva,2
"Bold printed mini skirt with a ruffled hem, worn with a simple white t-shirt, slide sandals, and a pair of statement earrings for a fun summer outing.",2
"According to documents at the National Air and Space Museum, Laika reached orbit alive aboard Sputnik 2 – and orbited the Earth in 103 minutes.",4
Earth is the only planet not named after a God.,4
Which is the most preferred dress among the asians,7
The spacecraft Mariner 4 was the first to fly to Mars and the first to transmit pictures of Mars,4
"<!DOCTYPE html> <html> <body> <button onclick=""window.print()"">Print this page</button> </body> </html>",0
"Companies large and small have begun using virtual reality, which transports users to a computer-generated world.",1
Manchester City’s Sergio Aguero Scores Last Minute,5
